SK_ID_CURR,TARGET,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE,FLAG_MOBIL,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,ORGANIZATION_TYPE,EXT_SOURCE_2,EXT_SOURCE_3,OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,FLAG_DOCUMENT_2,FLAG_DOCUMENT_3,FLAG_DOCUMENT_4,FLAG_DOCUMENT_5,FLAG_DOCUMENT_6,FLAG_DOCUMENT_7,FLAG_DOCUMENT_8,FLAG_DOCUMENT_9,FLAG_DOCUMENT_10,FLAG_DOCUMENT_11,FLAG_DOCUMENT_12,FLAG_DOCUMENT_13,FLAG_DOCUMENT_14,FLAG_DOCUMENT_15,FLAG_DOCUMENT_16,FLAG_DOCUMENT_17,FLAG_DOCUMENT_18,FLAG_DOCUMENT_19,FLAG_DOCUMENT_20,FLAG_DOCUMENT_21,AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR,AGE_YEARS,YEARS_EMPLOYED,YEARS_ID_PUBLISH,YEARS_REGISTRATION,CREDIT_INCOME_RATIO,ANNUITY_INCOME_RATIO,CREDIT_GOODS_RATIO,INCOME_PER_PERSON,EMPLOYMENT_AGE_RATIO
384575,0,0,1,1,0,2,207000.0,465457.5,52641.0,418500.0,6,1,4,1,1,0.00963,1,1,0,1,0,0,14,4.0,2,2,4,11,0,0,0,0,1,1,5,0.6048943383603742,0.0005272652387098,0.0,0.0,0.0,0.0,-2.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,1.0,36,2.0876712328767124,11.8,1.7452054794520548,2.248586956521739,0.25430434782608696,1.112204301075269,51750.0,0.05799086757990868
214010,0,0,0,1,1,0,247500.0,1281712.5,48946.5,1179000.0,6,1,1,3,1,0.006852,1,1,0,1,0,1,10,1.0,3,3,4,10,0,0,0,0,0,0,5,0.4253505221468029,0.7121551551910698,2.0,0.0,2.0,0.0,-1071.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,3.0,40,3.126027397260274,12.454794520547946,4.410958904109589,5.178636363636364,0.19776363636363636,1.087118320610687,247500.0,0.07815068493150686
142232,0,0,0,1,0,0,202500.0,495000.0,39109.5,495000.0,6,7,4,1,1,0.035792,1,1,1,1,0,0,14,2.0,2,2,5,16,0,0,0,0,0,0,42,0.5317599965307688,0.2079641743053816,5.0,0.0,5.0,0.0,-1435.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,3.0,49,1.7506849315068493,4.002739726027397,6.868493150684931,2.4444444444444446,0.19313333333333332,1.0,101250.0,0.03572826390830305
389171,0,0,0,0,1,0,247500.0,254700.0,24939.0,225000.0,6,4,4,5,1,0.04622,1,1,0,1,0,0,6,1.0,1,1,0,14,0,0,0,0,0,0,5,0.6935206274920988,0.6144143775673561,0.0,0.0,0.0,0.0,-2000.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,53,19.12876712328767,8.652054794520549,30.594520547945205,1.029090909090909,0.10076363636363636,1.132,247500.0,0.36092013440165416
283617,0,0,1,0,1,0,112500.0,308133.0,15862.5,234000.0,6,7,4,3,1,0.01885,1,1,0,1,0,0,8,1.0,2,2,6,11,0,0,0,0,0,0,5,0.5606898594049499,0.6363761710860439,0.0,0.0,0.0,0.0,-173.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4.0,55,3.0273972602739727,1.3534246575342466,19.997260273972604,2.73896,0.141,1.3168076923076923,112500.0,0.05504358655043587
362171,0,0,1,0,1,0,85500.0,152820.0,16456.5,135000.0,6,3,4,1,1,0.006629,1,0,0,1,1,0,18,2.0,2,2,4,6,0,0,0,0,0,0,57,0.5191266804311161,0.1047946227497676,3.0,0.0,3.0,0.0,-1011.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,52,,2.627397260273973,23.421917808219177,1.7873684210526315,0.19247368421052632,1.132,42750.0,
180689,0,0,0,0,0,1,112500.0,900000.0,24750.0,900000.0,1,1,4,1,1,0.015221,1,1,0,1,1,0,18,3.0,2,2,6,12,0,0,0,1,0,1,5,0.5479626352655883,,0.0,0.0,0.0,0.0,-440.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2.0,0.0,43,0.9452054794520548,12.8,1.347945205479452,8.0,0.22,1.0,37500.0,0.021981522777954763
310328,0,0,1,1,1,0,141606.0,810000.0,33120.0,810000.0,6,1,4,3,1,0.018801,1,1,1,1,0,0,8,1.0,2,2,0,10,0,0,0,0,0,0,47,0.0125875656953968,0.4902575124990026,5.0,0.0,5.0,0.0,-222.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,29,0.7123287671232876,8.635616438356164,0.7205479452054795,5.720096606076014,0.23388839455955257,1.0,141606.0,0.02456306093528578
233043,0,0,0,0,1,0,130500.0,781920.0,34443.0,675000.0,6,3,4,1,1,0.0228,1,0,0,1,0,0,18,2.0,2,2,2,8,0,0,0,0,0,0,57,0.077534911185021,0.633031641417419,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,5.0,64,,13.04931506849315,4.556164383561644,5.991724137931034,0.2639310344827586,1.1584,65250.0,
232220,0,0,0,0,1,1,99000.0,900000.0,35824.5,900000.0,6,7,4,2,1,0.026392,1,1,0,1,0,0,8,2.0,2,2,6,14,0,0,0,0,0,0,51,0.7400816968755699,,3.0,0.0,3.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,23,1.7780821917808218,3.9342465753424656,23.926027397260274,9.090909090909092,0.3618636363636364,1.0,49500.0,0.07730792138177486
